GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
1000000US421010002001051,421010002001051,"Block 1051, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001052,421010002001052,"Block 1052, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001053,421010002001053,"Block 1053, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001054,421010002001054,"Block 1054, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",172,49,8,0,114,0,0,1
1000000US421010002001055,421010002001055,"Block 1055, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001056,421010002001056,"Block 1056, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",1,0,0,0,0,0,0,1
1000000US421010002001057,421010002001057,"Block 1057, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",111,1,1,0,107,0,0,2
1000000US421010002001058,421010002001058,"Block 1058, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",46,15,0,0,30,0,1,0
1000000US421010002001059,421010002001059,"Block 1059, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",159,66,5,0,83,0,2,3
1000000US421010002001060,421010002001060,"Block 1060, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001061,421010002001061,"Block 1061, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",5,4,0,0,1,0,0,0
1000000US421010003001000,421010003001000,"Block 1000, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001001,421010003001001,"Block 1001, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001002,421010003001002,"Block 1002, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
